Unnamed: 0,level_0,index,submission_id,need_state,sub_cluster_init,macro_pillar,created_at,open_text,l1,l2,ontology_codes,tm_needs,needs_from_ontology,needs,location_name,weights,needs list,mood_coded,where_are_you_having_your_food_drink,activities_while_consuming,created_at_grouped,level1_ontology_from_pepsi_bev_3_1,level3_ontology_from_pepsi_bev_3_1,SB_needstates,global_subcluster_number,global_subcluster_name
10,10,10,15311875,Fuel,2.0,Fuel,2021-01-01 11:05:09.648,"[""Because I\u2019ve just got up and I always have a coffee"", ""Because I\u2019ve just got up and I always have a coffee""]","[""usually take coffee"", ""after i get up""]","[""after i get up""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.1883812180336172,"[""It's my habit / routine""]","[""Relaxed / calm""]",At my home,"[""Nothing""]",9am-12pm,"[""Hot beverages""]",,Routine,8,Daily Enabler
11,11,11,15312293,Indulge,1.0,Indulge,2021-01-01 02:12:20.349,"[""I wanted something refreshing""]","[""chose it because it is refreshing""]","[""wanted something sweet and refreshing""]","[""To feel refreshed / hydrated""]","[""Is tasty""]","[""To rehydrate my body""]","[""Is tasty""]",UK,0.703582857846944,['Is tasty'],"[""Hopeful / optimistic""]",At my home,"[""Nothing""]",12am-3am,"[""Soft drinks""]","[""Unflavoured still water""]",Treat,20,Relish
12,12,12,15312394,Indulge,1.0,Indulge,2021-01-01 02:42:23.373,"[""Creamy tasty milk just before milk to settle my tummy"", ""Creamy tasty milk just before milk to settle my tummy"", ""Creamy tasty milk just before milk to settle my tummy"", ""Creamy tasty milk just before milk to settle my tummy""]","[""hot and creamy"", ""settling my tummy"", ""a lot of milk"", ""says that it is very tasty""]","[""it is very tasty""]","[""I like the taste""]","[""Is tasty""]","[""Is tasty""]","[""Is tasty""]",UK,0.1963508086368192,['Is tasty'],"[""Tired / exhausted""]",At my home,"[""Nothing""]",12am-3am,"[""Dairy / plant-based beverages""]","[""Soy milk""]",Treat,20,Relish
13,13,13,15312575,Indulge,1.0,Indulge,2021-01-01 02:21:51 +0000,"[""It\u2019s the best American/Canadian beer in the U.K. it\u2019s a beer I always bring the new year in with"", ""It\u2019s the best American/Canadian beer in the U.K. it\u2019s a beer I always bring the new year in with""]","[""best american/canadian beer"", ""i always bring it with me""]","[""NOISE""]","[""I like the taste""]","[""NOISE""]","[""Is tasty""]","[""Is tasty""]",UK,0.596975980264193,['Is tasty'],"[""Hopeful / optimistic""]",At my home,"[""Watching movies / TV""]",12am-3am,"[""Beer""]","[""Pale Lager / Pilsner""]",Treat,20,Relish
14,14,14,15313654,Fuel,3.0,Fuel,2021-01-01 03:14:16.869,"[""I fancied some energy to keep me up for the new year celebrations"", ""I fancied some energy to keep me up for the new year celebrations"", ""I fancied some energy to keep me up for the new year celebrations""]","[""for the new year"", ""celebrations"", ""bought energy""]","[""to give me energy""]","[""To boost energy"", ""To party / celebrate""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy"", ""To celebrate""]","[""Gives me a boost / energy""]",UK,0.1211971995332555,['Gives me a boost / energy'],"[""Neutral / fine""]",At my home,"[""On my laptop / phone""]",3am-6am,"[""Soft drinks""]","[""Energy drink""]",Revive,7,Perk Up
15,15,15,15314515,Health,0.0,Health,2021-01-01 03:56:42.731,"[""i just finished a pizza so having a few drinks to wash it down"", ""i just finished a pizza so having a few drinks to wash it down""]","[""one of the few drinks"", ""finished pizza""]","[""NOISE""]","[""To aid digestion""]","[""NOISE""]","[""Aids digestion""]","[""Aids digestion""]",UK,0.233820197408694,['Aids digestion'],"[""Excited"", ""Hopeful / optimistic""]",At my home,"[""Spending time with pets"", ""On my laptop / phone"", ""Browsing social media / internet""]",3am-6am,"[""Soft drinks""]","[""Mixed fruit & vegetable juices""]",Keeps health balanced,30,Functional Health
16,16,16,15317575,Indulge,2.0,Indulge,2021-01-01 09:18:40.787,"[""I wanted something sweet and refreshing"", ""I wanted something sweet and refreshing""]","[""To refresh"", ""chose it because it is refreshing""]","[""To refresh"", ""wanted something sweet and refreshing""]","[""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is tasty""]","[""To rehydrate my body""]","[""To feel energised / recharged"", ""Is tasty""]",UK,0.8540267157332582,"['To feel energised / recharged', 'Is tasty']","[""Anxious / stressed"", ""Content / upbeat"", ""Hopeful / optimistic""]",At my home,"[""Waking up"", ""Watching movies / TV""]",9am-12pm,"[""Dairy / plant-based beverages""]","[""Almond milk""]",Explore,27,Happy Boost
17,17,17,15317698,Indulge,0.0,Indulge,2021-01-01 06:48:40 +0000,"[""Due to it being new year and feeling festive"", ""Due to it being new year and feeling festive""]","[""feeling festive"", ""for the new year""]","[""NOISE""]","[""To party / celebrate""]","[""NOISE""]","[""To celebrate""]","[""To celebrate""]",UK,0.2856067905951419,['To celebrate'],"[""Hopeful / optimistic""]",At my home,"[""Spending time with family""]",6am-9am,"[""Wine""]","[""Prosecco""]",Explore,27,Happy Boost
18,18,18,15320388,Health,2.0,Health,2021-01-01 07:34:13.340,"[""goes with breakfast""]","[""had breakfast""]","[""near breakfast time""]","[""To go with other food / drink""]","[""Completes my meal""]","[""Completes my meal""]","[""Completes my meal""]",UK,0.4446787332887833,['Completes my meal'],"[""Content / upbeat""]",At my home,"[""Nothing""]",6am-9am,"[""Hot beverages""]","[""Black tea""]",Supplements my Nutrition,13,Supplement
19,19,19,15321168,Health,1.0,Health,2021-01-01 09:55:09.283,"[""it is cool and refreshing, also easy to prepare"", ""it is cool and refreshing, also easy to prepare"", ""it is cool and refreshing, also easy to prepare""]","[""To refresh"", ""simple to prepare"", ""cool""]","[""To refresh"", ""cool""]","[""Convenient / easy to prepare"", ""I wanted something cold / refreshing"", ""To feel refreshed / hydrated""]","[""Is good for cooling down"", ""To feel energised / recharged""]","[""Quick to prepare / drink"", ""Is refreshing"", ""To rehydrate my body""]","[""Is good for cooling down"", ""To feel energised / recharged""]",UK,0.9712658227203222,"['Is good for cooling down', 'To feel energised / recharged']","[""Anxious / stressed""]",At my home,"[""Relaxing / resting"", ""Watching movies / TV""]",9am-12pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Revive,14,Enhance
20,20,20,15321874,Health,3.0,Health,2021-01-01 08:45:54.569,"[""It\u2019s cold, refreshing and a healthy way to start my day"", ""It\u2019s cold, refreshing and a healthy way to start my day"", ""It\u2019s cold, refreshing and a healthy way to start my day""]","[""Wanted something cold"", ""To refresh"", ""trying to eat healthy""]","[""To refresh"", ""trying to eat healthy""]","[""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]","[""To rehydrate my body""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]",UK,0.2298283454983593,"['To feel energised / recharged', 'Is nutritious / healthy']","[""Hopeful / optimistic""]",At my home,"[""Cooking""]",6am-9am,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Revive,9,Easy Fuel
21,21,21,15322171,Fuel,4.0,Fuel,2021-01-01 10:50:39.589,"[""because it's the morning and I wanted a caffeinated treat""]","[""did something with caffeine""]","[""caffeine related""]","[""I wanted something hot"", ""It's my habit / routine""]","[""Has caffeine""]","[""Warms me up"", ""It's my habit / routine""]","[""Has caffeine""]",UK,0.9246169933107568,['Has caffeine'],"[""Anxious / stressed"", ""Neutral / fine""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Hot beverages""]","[""Latte / cafe au lait""]",Revive,6,Enhance
22,22,22,15322705,Hydrate,1.0,Health,2021-01-01 08:13:17.509,"[""Because it\u2019s very tasty and it quenches my thirst"", ""Because it\u2019s very tasty and it quenches my thirst""]","[""bought it to quench my thirst"", ""says that it is very tasty""]","[""it is very tasty"", ""quench my thirst""]","[""I like the taste"", ""I had a craving""]","[""Is tasty"", ""To quench my thirst""]","[""Is tasty"", ""To indulge""]","[""Is tasty"", ""To quench my thirst""]",UK,0.1850803045875175,"['Is tasty', 'To quench my thirst']","[""Content / upbeat"", ""Hopeful / optimistic""]",At my home,"[""Relaxing / resting"", ""Spending time with family"", ""Checking emails""]",6am-9am,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Healthy Hydration Levels,11,Hydrate
23,23,23,15322938,Health,4.0,Health,2021-01-01 09:25:50.441,"[""To warm myself up""]","[""got a little hot""]","[""wanted something to warm me up""]","[""I wanted something hot""]","[""Prevents illness / strengthens immunity""]","[""Warms me up""]","[""Prevents illness / strengthens immunity""]",UK,0.2274731831303388,['Prevents illness / strengthens immunity'],"[""Annoyed / frustrated""]",At my home,"[""Relaxing / resting""]",9am-12pm,"[""Hot beverages""]","[""Other black tea""]",Keeps health balanced,30,Functional Health
24,24,24,15324066,Fuel,1.0,Fuel,2021-01-01 08:44:25.042,"[""Because I felt like I needed some caffeine to help wake me up! And to relax with my family"", ""Because I felt like I needed some caffeine to help wake me up! And to relax with my family"", ""Because I felt like I needed some caffeine to help wake me up! And to relax with my family""]","[""feel like a wake up"", ""did something with caffeine"", ""i like to relax in front of""]","[""caffeine related"", ""wake me up""]","[""To boost energy""]","[""Gives me a boost / energy"", ""Has caffeine""]","[""Gives me a boost / energy""]","[""Gives me a boost / energy"", ""Has caffeine""]",UK,0.2368404711078774,"['Gives me a boost / energy', 'Has caffeine']","[""Hopeful / optimistic""]",At my home,"[""Relaxing / resting"", ""Spending time with family""]",6am-9am,"[""Hot beverages""]",,Revive,7,Perk Up
25,25,25,15324267,Health,5.0,Health,2021-01-01 08:49:26.745,"[""I like the taste and trying to be healthy for new year"", ""I like the taste and trying to be healthy for new year"", ""I like the taste and trying to be healthy for new year""]","[""has taste"", ""for the new year"", ""trying to eat healthy""]","[""has taste"", ""trying to eat healthy""]","[""I like the taste"", ""It's a healthy choice""]","[""Is tasty"", ""Is nutritious / healthy""]","[""Is tasty"", ""Is nutritious / healthy""]","[""Is tasty"", ""Is nutritious / healthy""]",UK,0.4205075041718183,"['Is tasty', 'Is nutritious / healthy']","[""Content / upbeat"", ""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",6am-9am,"[""Hot beverages""]","[""Green tea""]",Keeps health balanced,37,Sure & Easy
26,26,26,15324935,Fuel,2.0,Fuel,2021-01-01 09:01:32.475,"[""i always take squash with me in my juice bottle"", ""i always take squash with me in my juice bottle""]","[""in my juice bottle"", ""thought i would have a drink of orange squash""]","[""NOISE""]","[""It's my habit / routine""]","[""NOISE""]","[""It's my habit / routine""]","[""It's my habit / routine""]",UK,0.2561991444807778,"[""It's my habit / routine""]","[""Active / energetic"", ""Content / upbeat""]",At my home,"[""Getting ready / personal care routine""]",9am-12pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Routine,8,Daily Enabler
27,27,27,15325092,Health,5.0,Health,2021-01-01 09:08:35.036,"[""I wanted a healthy breakfast because I have put weight on over Christmas"", ""I wanted a healthy breakfast because I have put weight on over Christmas"", ""I wanted a healthy breakfast because I have put weight on over Christmas""]","[""christmas time"", ""body weight loss journey"", ""trying to eat healthy""]","[""trying to eat healthy"", ""to lose weight""]","[""It's a healthy choice""]","[""Is nutritious / healthy"", ""Helps me manage / lose weight""]","[""Is nutritious / healthy""]","[""Is nutritious / healthy"", ""Helps me manage / lose weight""]",UK,0.5439828514646122,"['Is nutritious / healthy', 'Helps me manage / lose weight']","[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Soft drinks""]","[""Fruit smoothie""]",Keeps health balanced,37,Sure & Easy
28,28,28,15325458,Hydrate,3.0,Hydrate,2021-01-01 09:30:59.271,"[""I wanted to drink something cold""]","[""Wanted something cold""]","[""NOISE""]","[""I wanted something cold / refreshing""]","[""NOISE""]","[""Is refreshing""]","[""Is refreshing""]",UK,2.3976310731143404,['Is refreshing'],"[""Content / upbeat""]",At my home,"[""Relaxing / resting""]",9am-12pm,"[""Dairy / plant-based beverages""]","[""Cow's milk""]",Soothe,16,Revive
29,29,29,15325603,Health,0.0,Health,2021-01-01 09:18:48.682,"[""probably orange juice supposed to healthy. that' s why. vitamin c"", ""probably orange juice supposed to healthy. that' s why. vitamin c""]","[""there are vitamins in the drink"", ""orange juice""]","[""there are vitamins in the drink""]","[""It's a healthy choice""]","[""Contains vitamins or minerals""]","[""Is nutritious / healthy""]","[""Contains vitamins or minerals""]",UK,0.2558503956071667,['Contains vitamins or minerals'],"[""Great / amazing""]",At my home,"[""Watching movies / TV"", ""Relaxing / resting""]",9am-12pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Keeps health balanced,30,Functional Health
30,30,30,15325695,Indulge,2.0,Indulge,2021-01-01 09:37:19.866,"[""It\u2019s a nice and refreshing drink to have in the morning"", ""It\u2019s a nice and refreshing drink to have in the morning""]","[""To refresh"", ""nice""]","[""To refresh"", ""nice""]","[""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is tasty""]","[""To rehydrate my body""]","[""To feel energised / recharged"", ""Is tasty""]",UK,0.1211971995332555,"['To feel energised / recharged', 'Is tasty']","[""Sad / depressed""]",At my home,"[""Nothing""]",9am-12pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Explore,27,Happy Boost
31,31,31,15325792,Indulge,2.0,Indulge,2021-01-01 09:23:26.285,"[""It\u2019s sweet and nice"", ""It\u2019s sweet and nice""]","[""nice"", ""Wanted sweet""]","[""wanted something sweet"", ""nice""]","[""I like the taste""]","[""To indulge"", ""Is tasty""]","[""Is tasty""]","[""To indulge"", ""Is tasty""]",UK,0.1211971995332555,"['To indulge', 'Is tasty']","[""Neutral / fine""]",At my home,"[""Nothing""]",9am-12pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Treat,20,Relish
32,32,32,15325948,Health,5.0,Health,2021-01-01 09:19:32.923,"[""I wanted to have a health start so decided on water instead of coffee"", ""I wanted to have a health start so decided on water instead of coffee""]","[""for your health"", ""instead of coffee""]","[""for your health""]","[""It's a healthy choice""]","[""Is nutritious / healthy""]","[""Is nutritious / healthy""]","[""Is nutritious / healthy""]",UK,1.571387370625189,['Is nutritious / healthy'],"[""Active / energetic"", ""Neutral / fine""]",At my home,"[""Relaxing / resting""]",9am-12pm,"[""Soft drinks""]","[""Tap water""]",Supplements my Nutrition,12,Nutrition Rich
33,33,33,15326039,Indulge,1.0,Indulge,2021-01-01 09:25:56.528,"[""I love coffee""]","[""of costa coffee""]","[""NOISE""]","[""I like the taste""]","[""NOISE""]","[""Is tasty""]","[""Is tasty""]",UK,2.4239439906651112,['Is tasty'],"[""Relaxed / calm""]",At my home,"[""Relaxing / resting""]",9am-12pm,"[""Hot beverages""]",,Treat,20,Relish
34,34,34,15326045,Indulge,1.0,Indulge,2021-01-01 09:33:43.255,"[""it's just nice to have""]","[""nice""]","[""nice""]","[""I like the taste""]","[""Is tasty""]","[""Is tasty""]","[""Is tasty""]",UK,0.1211971995332555,['Is tasty'],"[""Sad / depressed"", ""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Hot beverages""]","[""White tea""]",Treat,20,Relish
35,35,35,15326069,Health,3.0,Health,2021-01-01 09:27:23.470,"[""I wanted something fruity and refreshing"", ""I wanted something fruity and refreshing""]","[""To refresh"", ""wanted to drink something fresh and fruity""]","[""To refresh"", ""wanted to drink something fresh and fruity""]","[""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]","[""To rehydrate my body""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]",UK,0.507043615842451,"['To feel energised / recharged', 'Is nutritious / healthy']","[""Content / upbeat"", ""Relaxed / calm""]",At my home,"[""Relaxing / resting""]",9am-12pm,"[""Soft drinks""]","[""Diet carbonated soft drink (unspecified)""]",Revive,9,Easy Fuel
36,36,36,15326149,Health,5.0,Health,2021-01-01 09:27:09.473,"[""I wanted something fruity""]","[""wanted to drink something fresh and fruity""]","[""wanted to drink something fresh and fruity""]","[""I had a craving""]","[""Is nutritious / healthy""]","[""To indulge""]","[""Is nutritious / healthy""]",UK,0.2047088976667171,['Is nutritious / healthy'],"[""Content / upbeat"", ""Relaxed / calm""]",At my home,"[""Browsing social media / internet""]",9am-12pm,"[""Soft drinks""]","[""Dilutes / squash / cordial""]",Supplements my Nutrition,12,Nutrition Rich
37,37,37,15326322,Indulge,0.0,Indulge,2021-01-01 14:34:42.504,"[""I wanted something warm""]","[""wanted something warm""]","[""NOISE""]","[""I wanted something hot""]","[""NOISE""]","[""Warms me up""]","[""Warms me up""]",UK,0.1480318369006707,['Warms me up'],"[""Sad / depressed""]",At my home,"[""Watching movies / TV""]",12pm-3pm,Hot beverages,,Unwind,25,Comfort
38,38,38,15326517,Health,1.0,Health,2021-01-01 09:34:11.448,"[""Fancied something refreshing""]","[""To refresh""]","[""To refresh""]","[""To feel refreshed / hydrated""]","[""To feel energised / recharged""]","[""To rehydrate my body""]","[""To feel energised / recharged""]",UK,0.1257090989517583,['To feel energised / recharged'],"[""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Soft drinks""]","[""Iced tea""]",Revive,14,Enhance
39,39,39,15326884,Connection,2.0,Connection,2021-01-01 09:44:56.991,"[""it's cold and easy to access"", ""it's cold and easy to access""]","[""Wanted something cold"", ""easy to get drunk""]","[""easy to make or drink""]","[""Convenient / easy to prepare"", ""I wanted something cold / refreshing""]","[""To create a social atmosphere""]","[""Quick to prepare / drink"", ""Is refreshing""]","[""To create a social atmosphere""]",UK,0.4679981814328009,['To create a social atmosphere'],"[""Active / energetic""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Soft drinks""]","[""Regular carbonated soft drink (unspecified)""]",Social Enabler,5,Bonding through Sharing
40,40,40,15326927,Health,3.0,Health,2021-01-01 09:47:17.072,"[""I find it\u2019s refreshing to have in the morning before you begin to eat anything and it gives me some energy"", ""I find it\u2019s refreshing to have in the morning before you begin to eat anything and it gives me some energy"", ""I find it\u2019s refreshing to have in the morning before you begin to eat anything and it gives me some energy""]","[""usually have it for breakfast"", ""To refresh"", ""before you begin to eat anything""]","[""To refresh"", ""usually for breakfast""]","[""To boost energy"", ""To feel refreshed / hydrated""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]","[""Gives me a boost / energy"", ""To rehydrate my body""]","[""To feel energised / recharged"", ""Is nutritious / healthy""]",UK,0.2118415894344788,"['To feel energised / recharged', 'Is nutritious / healthy']","[""Content / upbeat""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Soft drinks""]","[""Fruit juices (unspecified)""]",Revive,9,Easy Fuel
41,41,41,15326942,Fuel,4.0,Fuel,2021-01-01 09:45:03.191,"[""the caffeine will help me wake up""]","[""did something with caffeine""]","[""caffeine related""]","[""To boost energy""]","[""Has caffeine""]","[""Gives me a boost / energy""]","[""Has caffeine""]",UK,0.1274085283129186,['Has caffeine'],"[""Hopeful / optimistic""]",At my home,"[""Waking up""]",9am-12pm,"[""Soft drinks""]","[""Energy drink""]",Revive,6,Enhance
42,42,42,15327198,Health,5.0,Health,2021-01-01 09:54:10.177,"[""It\u2019s healthy and free"", ""It\u2019s healthy and free""]","[""got a box full of capsri sun for free with the lidl"", ""trying to eat healthy""]","[""trying to eat healthy""]","[""It's a healthy choice""]","[""Is nutritious / healthy""]","[""Is nutritious / healthy""]","[""Is nutritious / healthy""]",UK,1.5225219267238157,['Is nutritious / healthy'],"[""Tired / exhausted""]",At my home,"[""Watching movies / TV""]",9am-12pm,"[""Soft drinks""]","[""Tap water""]",Supplements my Nutrition,12,Nutrition Rich
43,43,43,15327441,Health,4.0,Health,2021-01-01 09:58:35.426,"[""To warm up""]","[""got a little hot""]","[""wanted something to warm me up""]","[""I wanted something hot""]","[""Prevents illness / strengthens immunity""]","[""Warms me up""]","[""Prevents illness / strengthens immunity""]",UK,0.7492220158437563,['Prevents illness / strengthens immunity'],"[""Tired / exhausted""]",At my home,"[""Doing housework / chores""]",9am-12pm,"[""Hot beverages""]","[""White tea""]",Keeps health balanced,30,Functional Health
